MOL_ID,molecule_ID,molecule_name,mw,hdon,hacc,alogp,halflife,ob,caco2,bbb,dl,FASA,tpsa,rbn
MOL003825,3825,esculentoside L,973.240,11,20,-0.187,,1.94203923631,-3.43693,-4.86481,0.053465,0.25302374,321.28,12
MOL003826,3826,esculentoside M,1003.220,12,22,-2.085,,9.19972827231,-4.01060,-4.77761,0.051865,0.22678725,358.58,12
MOL003827,3827,esculentoside M_qt,546.770,4,8,2.803,,18.2146151658,-0.98539,-1.53018,0.62443,0.27760872,141.36,4
MOL003828,3828,esculentoside O,634.890,6,10,3.213,,7.24342553872,-1.22934,-2.12834,0.35187,0.25534788,173.98,5
MOL003829,3829,esculentoside P,680.920,8,12,1.736,,5.74053012017,-2.14243,-3.13163,0.29248,0.26864466,214.44,6
MOL003830,3830,esculentoside Q,975.210,13,21,-1.247,,2.00424588222,-3.81855,-5.00453,0.043943,0.29685339,352.51,11
MOL003831,3831,esculentoside Q_qt,518.760,5,7,3.483,,16.73786266,-0.90826,-1.62005,0.67834,0.27169406,135.29,3
MOL003832,3832,esculentoside A,827.080,9,16,0.750,,5.54098532556,-2.46021,-3.45189,0.1096,0.24339977,262.36,9
MOL003833,3833,esculentoside A_qt,532.790,4,7,3.734,,13.0427749291,-0.51025,-1.13327,0.6497,0.25021395,124.29,4
MOL003834,3834,esculentagenin,546.770,4,8,2.803,,17.5242725897,-1.18765,-1.65083,0.62443,0,141.36,4
MOL003835,3835,Esculentoside L1,973.240,11,20,-0.187,,1.92302530882,-3.34333,-4.49618,0.053235,0.21153839,321.28,12
MOL003836,3836,Esculentoside L1_qt,516.790,3,6,4.700,,9.27395533658,-0.24980,-1.02302,0.67885,0.22866666,104.06,4
MOL003837,3837,esculetin,178.150,2,4,1.365,,22.96888958,0.43785,0.02268,0.066251,0.35696158,70.67,0
MOL003838,3838,"(4aS,6aR,6bR,8aR,9R,10S,12aS,13R,14aS,14bS)-10-acetoxy-13-hydroxy-2,2,6b,9,12a,14a-hexamethyl-9-methylol-1,3,4,5,6a,7,8,8a,10,11,12,13,14,14b-tetradecahydropicene-4a-carboxylic acid",530.820,3,6,4.541,,17.8381577399,-0.20439,-0.97401,0.6528,0.27037859,104.06,4
MOL003839,3839,"(-)-Guaia-1(10),11-dien-15-al",218.370,0,1,4.159,,29.7132392574,1.48434,1.57909,0.085921,0.26834282,17.07,2
MOL003840,3840,1'-Methoxy-2'-hydroxydihydromollugin,332.380,2,6,2.033,,26.7565429392,0.26192,-0.08330,0.35217,0.3040877,85.22,3
MOL003841,3841,Albafuran A,378.500,3,4,6.824,,1.05009719886,1.08979,0.07653,0.50099,0.30759045,73.83,6
MOL003842,3842,Albanol,562.600,5,8,6.953,9.273426,83.1572272465,0.41307,-0.84691,0.23719,0.35054788,132.75,2
MOL003843,3843,Ecdysterone-3-O-beta-D-glucopyranoside,628.840,9,12,-0.954,,11.375225113,-2.73039,-3.70359,0.54707,0.24760157,217.6,8
MOL003844,3844,Ecdysterone-3-O-beta-D-glucopyranoside_qt,466.680,6,7,0.793,,7.82409292809,-1.53353,-2.66486,0.82926,0.27750841,138.45,5
MOL003845,3845,Folinic acid,473.500,8,14,-0.039,,23.6004345707,-1.70085,-2.57962,0.74014,0.34279665,220.1,9
MOL003846,3846,"8-[(2S)-2,3-dihydroxy-3-methyl-butoxy]-4-methoxy-1-methyl-carbostyril",307.380,2,6,0.476,,24.0774228529,0.23387,-0.56975,0.22596,0.25343004,80.92,5
MOL003847,3847,Inophyllum E,402.470,0,5,4.664,15.509769,38.80967447,0.67784,0.29785,0.85408,0.33882895,65.74,1
MOL003848,3848,Insularine,620.800,0,8,6.972,,14.3146258141,1.05428,0.47521,0.046061,0.18094315,61.86,3
MOL003849,3849,Isobutyrylmallotochromene,470.560,4,8,4.601,,22.8028956579,0.30473,-0.37363,0.68561,0.28322983,133.52,6
MOL003850,3850,"26-Hydroxy-dammara-20,24-dien-3-one",440.780,1,2,6.849,7.108429,44.4129887716,0.82019,-0.00029,0.79416,0.26449135,37.3,5
MOL003851,3851,Isoramanone,348.530,3,4,1.369,4.789222,39.9668573114,0.04564,-0.15950,0.50569,0.23880979,77.76,1
MOL003852,3852,Isovaleroxy-hydroxy dihydrovaltrate,540.670,1,11,1.921,,25.5058616712,-0.42670,-0.86902,0.71123,0.29094869,147.19,15
MOL003853,3853,Kuwanon H,760.890,8,11,9.107,,3.01368599577,-0.37546,-1.39073,0.38258,0.35910612,209.12,9
MOL003854,3854,Kwangsine,556.700,4,4,8.347,23.811325,45.9695232812,1.13404,-0.03205,0.1122,0.26276243,90.5,1
MOL003855,3855,Macranthoidin A_qt,472.780,3,4,5.331,,15.3581887251,0.16496,-0.53860,0.74344,0.23635049,77.76,2
MOL003856,3856,Moracin B,286.300,2,5,3.376,5.299795,55.8508773824,0.82963,-0.08750,0.23225,0.23762684,72.06,3
MOL003857,3857,Moracin C,310.370,3,4,4.998,9.128035,82.1315464104,0.86564,-0.06719,0.28665,0.30835357,73.83,3
MOL003858,3858,Moracin D,308.350,2,4,4.196,6.44494,60.9284317683,1.03058,0.12384,0.38454,0.31750321,62.83,1
MOL003859,3859,Moracin E,308.350,2,4,4.196,5.255042,56.07638387,0.96002,0.15331,0.38469,0.32043052,62.83,1
MOL003860,3860,Moracin F,286.300,2,5,3.376,4.837212,53.8121073625,0.80982,-0.01525,0.23084,0.25819179,72.06,3
MOL003861,3861,Moracin G,308.350,2,4,4.516,6.685673,75.7774523265,0.98377,0.24144,0.4224,0.32013801,62.83,1
MOL003862,3862,Moracin H,338.380,2,5,4.500,6.534126,74.3481215012,0.86913,-0.07379,0.51222,0.25607589,72.06,2
MOL003863,3863,Morellic acid,560.690,2,8,4.873,,29.5379261265,0.15459,-0.31374,0.42297,0.34113961,119.36,5
MOL003864,3864,Morindon,270.250,3,5,2.492,,18.7918700268,0.42385,-0.31471,0.24021,0.40165085,94.83,0
MOL003865,3865,Moscatin,240.270,2,3,3.096,,21.1753208737,1.18267,0.76625,0.18181,0.36612055,49.69,1
MOL003866,3866,Mulberrofuran B,392.530,2,4,7.075,,4.472568492,1.23789,0.30169,0.5506,0.28320691,62.83,7
MOL003867,3867,Paeonolide,460.480,6,12,-1.854,,6.29877362082,-1.41645,-2.09386,0.6449,0.29997766,184.6,7
MOL003868,3868,beta-Sitosterol-3-O-beta-D-xylopyranoside,546.920,3,5,6.848,,6.94846701146,0.16725,-0.36773,0.70998,0.22134376,79.15,8
MOL003869,3869,"3,4-Dihydroxydihydgaroaroiuran",252.440,2,2,2.668,4.062108,77.9183953302,0.80209,0.88747,0.1622,0.23599415,40.46,0
MOL003870,3870,gynesine,137.150,0,2,-0.292,11.7779,60.067561264,0.58428,0.77834,0.025632,0.10345417,44.01,1
MOL003871,3871,Chlorogenic acid,354.340,6,9,-0.273,,13.6078652473,-1.32646,-1.78540,0.31161,0.39351937,164.75,5
MOL003872,3872,α－ionone,162.150,1,3,1.337,-2.05472,64.34873296,0.77033,0.59998,0.05412,0.43628484,50.44,0
MOL003873,3873,Inositol,180.180,6,6,-3.064,,19.1007315121,-1.80405,-4.20928,0.04715,0.24005587,121.38,0
MOL003875,3875,7-Hydroxycoumarin,160.180,1,2,2.017,,25.3565404638,1.38161,1.26699,0.05158,0.43633893,33.37,0
MOL003876,3876,"(2R)-2-[[4-[[(6S)-2-amino-5-formyl-4-keto-1,6,7,8-tetrahydropteridin-6-yl]methylamino]benzoyl]amino]glutaric acid",473.500,8,14,-1.556,,5.89807105144,-1.45480,-2.30210,0.74371,0.31184903,219.84,9
MOL003877,3877,Fuseloel,88.170,1,1,1.223,11.154,65.6659149736,0.99612,1.17070,0.0041988,0.22207691,20.23,2
MOL003879,3879,4-Prenylresveratrol,296.390,3,3,4.871,6.173918,40.5387170286,0.89576,0.22588,0.20818,0.38540283,60.69,4
MOL003880,3880,5-Hydroxycoumarin,162.150,1,3,1.632,,19.0537297027,0.76229,0.59616,0.054325,0.41937724,50.44,0
MOL003881,3881,6-Hydroxycoumarin,162.150,1,3,1.632,,15.8019251386,0.73044,0.47234,0.053827,0.43031916,50.44,0
MOL003882,3882,"7alpha,21S,25-Trihydroxy-3beta-acetoxy-21S,23R-epoxy-9(11)-en-dammarane",532.840,3,6,3.880,,10.9403193671,-0.17329,-1.02511,0.75296,0.23358825,96.22,5
MOL003883,3883,Nyasol,252.330,2,2,4.055,,3.37084668414,1.30679,0.66437,0.13407,0.44929031,40.46,4
MOL003884,3884,Nevadensin,344.340,2,7,2.553,,14.2577173219,0.81122,-0.11293,0.36631,0.22276397,98.36,4
MOL003885,3885,Yamogenin,414.690,1,3,4.634,,17.1945177584,0.83149,0.23894,0.80965,0.19344461,38.69,0
MOL003886,3886,diosgenin glucoside,576.850,4,8,2.887,,15.8979087532,-0.61549,-1.38394,0.28764,0.22729719,117.84,3
MOL003887,3887,Gracillin,885.170,9,17,0.282,,27.3886105093,-2.42408,-3.34277,0.055704,0.22562049,255.91,8
MOL003888,3888,methylprotodioscin,1063.380,12,22,-0.935,,10.2633703371,-3.07467,-4.47858,0.027465,0.21117209,335.06,15
MOL003889,3889,methylprotodioscin_qt,446.740,2,4,4.276,5.477112,35.1164010273,0.20346,-0.44726,0.8591,0.19034736,58.92,5
MOL003890,3890,pseudoprotodioscin,1031.330,12,21,-0.688,,3.01371375297,-3.38691,-4.47247,0.028695,0.2210125,325.83,14
MOL003891,3891,pseudoprotodioscin_qt,414.690,2,3,4.523,3.349797,37.9306251024,0.49743,-0.50308,0.8738,0.21144384,49.69,4
MOL003892,3892,Sarsapogenine,416.710,1,3,4.884,,17.4080449729,0.80258,0.23997,0.80721,0.19029266,38.69,0
MOL003893,3893,sarsasopogenin,416.710,1,3,4.884,,16.4672090927,0.78295,0.21083,0.80818,0.19788164,38.69,0
MOL003894,3894,Smilagenin,416.710,1,3,4.884,,14.1527227832,0.73335,0.10230,0.80715,0.19360933,38.69,0
MOL003895,3895,5-Methoxymethyl furfural,140.150,0,3,1.080,,28.2299429188,0.60201,0.87031,0.0235,0.16358998,39.44,3
MOL003896,3896,7-Methoxy-2-methyl isoflavone,266.310,0,3,3.364,16.886729,42.5647414783,1.15659,0.55574,0.19946,0.33379653,39.44,2
MOL003897,3897,"9,10-Dihydrophenanthrene",180.260,0,0,3.949,4.57254,40.8432224737,1.92440,1.86748,0.09719,0.42668113,0,0
MOL003898,3898,Aspafilioside A,711,6,12,1.901,,16.7745160697,-1.40131,-2.27144,0.1064,0.21588294,176.76,5
MOL003899,3899,Aspafilioside A_qt,416.710,1,3,4.884,,17.65549914,0.87006,0.45148,0.80802,0.19994299,38.69,0
MOL003900,3900,Asparaside A,1067.370,13,23,-1.971,,9.47750451516,-4.17607,-5.27897,0.01701,0.21781082,355.29,15
MOL003901,3901,Asparaside A_qt,434.730,2,4,4.128,3.657764,30.6048320101,0.11397,-0.63893,0.85988,0.21102428,58.92,4
MOL003902,3902,methyl (Z)-icos-11-enoate,324.610,0,2,7.999,,29.4944294873,1.41170,1.10618,0.22588,0.16475536,26.3,18
MOL003903,3903,(E)-tricos-11-enoic acid,352.670,1,2,9.116,,27.5822696559,1.24762,0.88860,0.30017,0.19914946,37.3,20
MOL003904,3904,Erucic acid ethyl ester,366.700,0,2,9.260,,28.120303262,1.54105,1.11302,0.33428,0.17747191,26.3,21
MOL003905,3905,K-STROPHANTHOSIDE,710.900,6,14,-0.092,8.691318,70.64964761,-1.85703,-2.62438,0.22162,0.25305736,210.9,8
MOL003906,3906,K-STROPHANTHOSIDE_qt,404.550,3,6,1.339,6.007472,30.7971125366,-0.61917,-1.37429,0.77587,0.27239823,104.06,2
MOL003907,3907,erysimoside,696.870,7,14,-0.500,12.959334,65.4545739,-2.26858,-3.17806,0.22876,0.26977009,221.9,7
MOL003908,3908,Cynotoxin,404.550,3,6,1.339,6.715352,99.94245194,-0.75685,-1.4196,0.7759,0.29028025,104.06,2
MOL003909,3909,evobioside,682.890,7,13,0.773,12.134949,44.246609757,-2.12064,-2.82411,0.24322,0.25837266,204.83,6
MOL003910,3910,evobioside_qt,374.570,2,4,3.379,,14.3413488485,-0.00403,-0.80832,0.71465,0.26309747,66.76,1
MOL003911,3911,evomonoside,520.730,4,8,2.520,,12.2427787205,-0.48206,-1.19132,0.69397,0.24898519,125.68,3
MOL003912,3912,DTX,374.570,2,4,3.379,,15.776112697,0.16152,-0.60624,0.71464,0.24508587,66.76,1
MOL003913,3913,Helveticoside,534.710,4,9,1.247,,10.8765209323,-1.21195,-2.01336,0.6851,0.26383123,142.75,4
MOL003914,3914,STOCK1N-70051,404.550,3,6,1.339,,9.909870973,-0.77473,-1.3861,0.776,0.28605786,104.06,2
MOL003915,3915,WLN: NC1R,117.160,0,1,1.744,-1.87652,47.2204367906,1.61059,1.63671,0.017705,0.45375007,23.79,1
MOL003917,3917,3-(4-Hydroxyphenyl)propionitrile,147.190,1,2,1.933,2.799725,49.3162448339,1.14987,0.68011,0.029969,0.41166243,44.02,2
MOL003918,3918,WLN: SCN2R,163.260,0,1,2.918,7.366324,53.7007065712,1.62141,1.79796,0.02632,0.57570964,44.45,3
MOL003919,3919,Methyl sebacate,230.340,0,4,2.829,,25.0103632811,0.57672,0.02624,0.072646,0.15280798,52.6,11
MOL003920,3920,Methyl icosanoate,326.630,0,2,8.443,,15.7935587404,1.42971,1.11650,0.22289,0.14717962,26.3,19
MOL003921,3921,Sinapinic acid,224.230,2,5,1.602,,26.965594534,0.44243,0.18446,0.080238,0.25231016,75.99,4
MOL003922,3922,Crotonitrile,67.100,0,1,1.145,12.238,75.3008710548,1.56627,1.83637,0.0022892,0.37700611,23.79,0
MOL003923,3923,Tropeolin,149.230,0,1,2.311,4.97744,55.8315905036,1.49384,1.50729,0.021675,0.51292902,49.09,2
MOL003924,3924,Methyl azelate,216.310,0,4,2.373,,25.1188643151,0.59734,0.13999,0.059455,0.15940495,52.6,10
MOL003925,3925,10-hexadecenoic acid,254.460,1,2,5.923,5.630031,35.7758532147,1.13749,1.04966,0.10014,0.21800658,37.3,13
MOL003926,3926,Dimethyl undecanedioate,244.370,0,4,3.285,,28.4531268468,0.67993,0.13767,0.088128,0.16014972,52.6,12
MOL003927,3927,Dihomolinolenic acid,306.540,1,2,6.859,5.457877,44.1102988337,1.26590,0.87843,0.20398,0.26991382,37.3,15
MOL003928,3928,Butenylisothiocyanate,113.200,0,1,1.956,11.7548,66.9206267922,1.54242,1.76249,0.005234,0.58301234,44.45,2
MOL003929,3929,mustard oil,99.170,0,1,1.630,12.1354,81.7974942725,1.50560,1.79817,0.0034955,0.63234323,44.45,2
MOL003930,3930,Urogran,149.230,0,1,2.596,4.93154,81.6789225097,1.55220,1.70579,0.021084,0.60587394,44.45,2
MOL003931,3931,Allylnitrile,67.100,0,1,0.777,12.214,78.6792116998,1.53982,1.76924,0.0023441,0.4258506,23.79,1
MOL003932,3932,WLN: SH1R,124.220,0,0,2.197,11.9682,42.7868190079,1.60374,1.67399,0.012837,0.48289105,38.8,1
MOL003933,3933,ST5407144,196.220,1,4,1.750,2.269509,38.045211258,0.71107,0.44987,0.054797,0.29816172,55.76,4
MOL003934,3934,4-O-Methylgallic acid,184.160,3,5,0.883,2.137579,36.740917722,0.22615,-0.20691,0.0513,0.30662245,86.99,2
MOL003935,3935,"2,6-Dimethyl-1,3,5,7-octatetraene, E,E-",134.240,0,0,3.243,,11.7100837193,1.86568,2.00646,0.015556,0.45150509,0,3
MOL003936,3936,"1,2,3-Trimethylcyclopentene",110.220,0,0,2.981,11.5297,42.0145774399,1.83186,2.14307,0.014917,0.25971806,0,0
MOL003937,3937,"Naphthalene, 1,2,3,4,4a,5,6,8a-octahydro-7-methyl-4-methylene-1-(1-methylethyl)-, (1alpha,4abeta,8aalpha)-",204.390,0,0,4.799,,20.2083102123,1.87019,2.05690,0.077353,0.25569737,0,1
MOL003938,3938,nerolidyl acetate,264.450,0,2,4.941,4.751542,32.3295753368,1.48152,1.33340,0.098579,0.26686522,26.3,9
MOL003939,3939,Nantenin,339.420,0,5,3.335,,25.4882489301,0.93311,0.38133,0.74336,0.22189957,40.16,2
MOL003940,3940,Stearamide,283.560,2,2,6.678,,18.4412349079,1.25241,1.28174,0.13834,0.16703002,43.09,16
MOL003941,3941,Rutaevine acetate,528.600,0,10,1.105,,29.4482844878,-0.37447,-0.88909,0.47806,0.30348951,130.87,3
MOL003942,3942,Rutaevine,472.530,1,9,0.323,-4.992552,66.05261259,-0.57505,-0.99448,0.57727,0.33960739,124.8,1
MOL003943,3943,Rutalinidine,275.330,2,5,1.885,18.543645,40.89027205,0.07625,-0.46115,0.22201,0.3514182,71.69,1
MOL003945,3945,Tetrahydromagnolol,270.400,2,2,5.611,,13.3358284451,1.36182,1.00355,0.14661,0.29732347,40.46,5
MOL003946,3946,"1-bromo-2,2,3,3-tetramethyl-1-prop-1-ynylcyclopropane",215.150,0,0,3.665,,8.74081643988,1.90269,2.00521,0.056356,0.43255404,0,0
MOL003947,3947,1-methyl-2-[(Z)-pentadec-10-enyl]-4-quinolone,367.630,0,2,8.090,20.061522,48.4484625695,1.47813,1.11218,0.4613,0.28730872,22,13
MOL003948,3948,Cuminol,150.240,1,1,2.420,1.577471,42.5696422073,1.19885,1.23718,0.028497,0.30136359,20.23,2
MOL003949,3949,Dimethyl anthranilate,165.210,1,3,1.494,23.74724,65.8688376863,1.35264,1.29435,0.037148,0.34490299,38.33,3
MOL003950,3950,1-methyl-2-[(Z)-undec-6-enyl]-4-quinolone,311.510,0,2,6.265,18.083008,48.479708519,1.42502,1.14398,0.27377,0.27808374,22,9
MOL003951,3951,Benzyl isovalerate,192.280,0,2,2.980,4.08907,58.4386264956,1.32184,1.41036,0.049181,0.36334905,26.3,5
MOL003952,3952,[(E)-3-phenylprop-2-enyl] (Z)-3-phenylprop-2-enoate,264.340,0,2,4.205,6.915319,76.02562515,1.43761,1.0722,0.16989,0.43015197,26.3,6
MOL003953,3953,AI3-23133,152.260,1,1,1.838,11.5441,52.0343339648,1.17881,1.34886,0.061515,0.2497341,20.23,0
MOL003954,3954,"cyclohexene,3-butyl-",138.280,0,0,3.913,3.178024,37.1569450332,1.81241,2.08586,0.019711,0.21446273,0,3
MOL003955,3955,D-Cystine,240.340,6,6,-0.876,3.463816,39.5822064836,-1.32771,-2.06246,0.048873,0.36867064,177.24,7
MOL003956,3956,dihydrorutaecarpine,289.360,2,3,3.314,27.638285,42.2668614266,1.30244,0.69793,0.59633,0.31565556,48.13,0
MOL003957,3957,1-methyl-2-pentadecyl-4-quinolone,369.650,0,2,8.535,19.24699,44.5174213403,1.27921,1.05116,0.45617,0.2595346,22,14
MOL003958,3958,Evodiamine,303.390,1,3,3.668,7.946339,86.01614999,1.49127,0.85158,0.6416,0.31834671,39.34,0
MOL003959,3959,limonin,470.560,0,8,1.415,,21.301981344,-0.15043,-0.67071,0.57413,0,104.57,1
MOL003960,3960,"1-(5,7,8-trimethoxy-2,2-dimethylchromen-6-yl)ethanone",292.360,0,5,2.308,14.721778,30.3864524405,0.95166,0.74798,0.18292,0.20176344,53.99,4
MOL003961,3961,Geranyl isobutyrate,224.380,0,2,4.443,2.135675,36.3705610076,1.40544,1.32763,0.060333,0.29559833,26.3,7
MOL003962,3962,Geranyl propionate,210.350,0,2,3.980,,25.5764344265,1.36579,1.32400,0.050308,0.2854166,26.3,7
MOL003963,3963,hydroxyevodiamine,319.390,2,4,3.400,8.477595,72.1074271721,1.10028,0.15775,0.70694,0.31613815,59.57,0
MOL003964,3964,1-methyl-2-undecyl-4-quinolone,313.530,0,2,6.710,18.24738,47.5904706706,1.38191,1.19467,0.27026,0.27236274,22,10
MOL003966,3966,1-Penten-3-one,84.130,0,1,1.121,11.7785,69.457636327,1.23192,1.62295,0.0046291,0.37715185,17.07,2
MOL003967,3967,Neryl 3-methylbutyrate,238.410,0,2,4.688,,25.3682202714,1.36867,1.30394,0.071175,0.28138044,26.3,8
MOL003968,3968,"(Z)-3,7-Dimethylocta-2,6-dienyl valerate",238.410,0,2,4.893,,22.8949658461,1.40780,1.19537,0.071765,0.28044102,26.3,9
MOL003969,3969,L-Serin,105.110,4,4,-1.489,11.5199,98.4691071377,-1.12020,-2.95543,0.0091307,0.30530748,83.55,2
MOL003970,3970,4-[(1S)-1-hydroxy-2-methylaminoethyl]phenol,167.230,3,3,0.590,4.051732,75.2540712,0.63031,0.42012,0.035948,0.33437735,52.49,3
MOL003971,3971,Threonin,119.140,4,4,-1.111,11.4172,73.5156836069,-0.86671,-2.55883,0.012819,0.29859686,83.55,2
MOL003972,3972,1-methyl-2-nonyl-4-quinolone,285.470,0,2,5.798,17.938925,48.4194665059,1.35722,1.20690,0.20168,0.26662326,22,8
MOL003973,3973,caffeine,194.220,0,5,-0.100,13.635019,89.4581679839,0.57941,-0.00950,0.075287,0.14730631,61.82,0
MOL003974,3974,Evocarpine,339.570,0,2,7.178,17.901103,48.6608846392,1.45504,1.17019,0.36021,0.27015999,22,11
MOL003975,3975,"icosa-11,14,17-trienoic acid methyl ester",320.570,0,2,7.110,5.386681,44.8136171923,1.51969,1.07483,0.23355,0.21099587,26.3,16
MOL003976,3976,12alpha-Hydroxyevodol,500.540,2,10,-0.012,,19.4075181058,-0.83550,-1.44405,0.52504,0.32214704,145.03,1
MOL003977,3977,13-Methylmyristate,242.450,1,2,5.707,,25.2824990736,1.07934,1.00886,0.080627,0.20869707,37.3,12
MOL003978,3978,"(3R,6E,10E)-3,7,11,15-tetramethylhexadeca-1,6,10,14-tetraen-3-ol",290.540,1,1,6.389,4.374234,45.4454072897,1.53148,1.31591,0.13857,0.29400364,20.23,10
MOL003979,3979,"1,9-Decadiyne",134.240,0,0,5.303,7.258662,42.6147553976,1.89050,1.86484,0.015664,0.40189293,0,5
MOL003980,3980,"3-isopropylidene-5-methylhexa-1,4-diene",136.260,0,0,3.624,11.740568,52.8250601208,1.85843,2.08267,0.016068,0.32105851,0,2
MOL003981,3981,"2,4-DIMETHYLFURAN",96.140,0,1,1.566,4.1678,54.3262840438,1.69955,2.01973,0.010265,0.12988007,13.14,0
MOL003982,3982,"2,5-Dimethyl-1,5-hexadiene-3,4-diol",142.220,2,2,1.286,,14.8231328185,0.46841,0.58473,0.019368,0.35226223,40.46,3
MOL003983,3983,"2,6,11,15-Tetramethyl-hexadeca-2,6,8,10,14-pentaene",272.520,0,0,7.233,,4.64950800749,2.05246,1.87274,0.11804,0.32566997,0,8
MOL003984,3984,"2,6-dimethylocta-2,6-diene",138.280,0,0,4.025,,21.7505378144,1.87114,2.05754,0.014901,0.28997064,0,3
MOL003985,3985,2-Caren-10-al,150.240,0,1,2.038,11.471576,44.7414443555,1.37451,1.62628,0.049552,0.27927256,17.07,1
MOL003986,3986,3-ethylcyclopent-2-en-1-one,110.170,0,1,1.598,11.4641,87.8071740049,1.25814,1.54643,0.013395,0.31009603,17.07,1
MOL003987,3987,2-Decyne,138.280,0,0,4.612,,20.3259100815,1.91530,2.06344,0.014403,0.25704041,0,5
MOL003988,3988,2-Hydroxy-3-formyl-7-methoxycarbazole,241.260,2,3,2.799,9.484459,83.0844979646,0.84258,0.11196,0.17802,0.25001025,62.32,2
MOL003989,3989,2-Methylpent-2-enal,98.160,0,1,1.820,11.6087,81.9860569709,1.28521,1.58220,0.0065287,0.33067787,17.07,2
MOL003990,3990,2-Methyl-6-hepten-3-ol,128.240,1,1,2.257,10.685992,69.9922572928,1.27241,1.40972,0.012547,0.28704536,20.23,4
MOL003991,3991,Tectochinon,222.250,0,2,3.295,,26.652625684,0.91933,0.24421,0.15679,0.46532178,34.14,0
MOL003992,3992,2-PENTADECANONE,226.450,0,1,5.441,,7.41212952681,1.46663,1.63012,0.064026,0.20066102,17.07,12
MOL003993,3993,TRIDECANONE,198.390,0,1,4.529,,10.5014676777,1.44064,1.62456,0.041645,0.21402201,17.07,10
MOL003994,3994,24-methyl-31-norlanost-9(11)-enol,428.820,1,1,8.153,3.392346,37.9996853037,1.36320,1.00345,0.75474,0.23099102,20.23,5
MOL003995,3995,"3,3-Dimethyl allyl-p-propenyl phenyl ether",202.320,0,1,4.233,,18.1134009262,1.79049,1.59539,0.059036,0.38438624,9.23,4
MOL003996,3996,"3-Cyclohexen-1-carboxaldehyde,3,4-dimethyl-",138.230,0,1,2.392,11.3424,42.2746479873,1.28323,1.60698,0.024267,0.27841383,17.07,1
MOL003997,3997,3-Furaldehyde,96.090,0,2,0.693,-3.0795,50.9588947506,1.04314,1.21049,0.010481,0.19475,30.21,1
MOL003998,3998,"(3S)-3-methyl-2,3-dihydrofuran",84.130,0,1,0.445,11.4493,87.7424991181,1.43794,1.96013,0.0067353,0.20208503,9.23,0
MOL003999,3999,"3,3-diethyl-4,5-dimethylhex-4-en-2-one",182.340,0,1,3.575,12.539976,46.6992601336,1.38886,1.69616,0.037953,0.30988425,17.07,4
MOL004000,4000,"(3R,6S)-3-hydroperoxy-6-isopropenyl-3-methylcyclohexene",168.260,1,2,2.576,6.041912,58.8599650653,1.04712,1.05188,0.038647,0.3076297,29.46,2
MOL004001,4001,"5,8-tetradecadienoic acid",224.380,1,2,4.566,,22.2484622929,1.11488,0.97249,0.068849,0.26193634,37.3,10
MOL004002,4002,5alpha-O-(3'-Methylamino-3'-phenylpropionyl)nicotaxine,716.900,1,12,3.211,9.490978,30.8553161042,-0.30182,-0.79931,0.4936,0.30282485,159.72,13
MOL004003,4003,"6,11-Dimethyl-2,6,10-dodecatrien-1-ol",208.380,1,1,4.314,2.272012,50.8241354787,1.36603,1.16602,0.050377,0.27635688,20.23,7
MOL004004,4004,6-OH-Luteolin,302.250,5,7,1.800,14.616871,46.9310207259,0.13603,-0.91181,0.27927,0.34900165,131.36,1
MOL004005,4005,6alpha-Acetoxy-5-epilimonin,542.680,0,9,2.378,,12.7362038039,-0.33181,-0.89147,0.60152,0.30947304,118.34,3
MOL004006,4006,7-Hexadecyne,222.460,0,0,7.349,,4.21235534323,1.94577,1.83568,0.061843,0.19195901,0,10
MOL004007,4007,"1,1-Dimethyl-2-(3-methyl-1,3-butadiene)-cyclo-propane",136.260,0,0,3.058,,21.1241868353,1.84021,2.08574,0.028416,0.34697556,0,2
MOL004008,4008,"7R,8R-8-hydroxy-4-isopropylidene-7-methylbicyclo[5.3.1]undec-1-ene",220.390,1,1,3.997,,29.2354646076,1.34158,1.27339,0.090923,0.24925372,20.23,0
MOL004009,4009,"(9S,10S)-9,10-dihydroxyoctadecanoic acid",316.540,3,4,5.076,,20.4253731792,0.12760,-0.13711,0.17835,0.22084498,77.76,16
MOL004010,4010,Arachidoside,304.320,4,6,2.171,,2.44988105896,0.08430,-0.71141,0.27002,0.30404544,99.38,2
MOL004011,4011,Nevoli oil,151.180,2,3,0.939,-1.86092,86.5206951266,0.43580,0.47176,0.031302,0.34726253,52.32,2
MOL004012,4012,"Bicyclo[3.3.0]octan-3-one, 7-ethylidene-",150.240,0,1,1.764,-2.837928,55.5123995086,1.29228,1.56366,0.037343,0.24550399,17.07,0
MOL004013,4013,"1,3,4-Tridehydrofangchinolium hydroxide",607.780,1,7,5.183,3.530485,37.0612446159,0.97744,0.26707,0.10739,0.18730494,72.63,3
MOL004014,4014,Evodiamide,307.430,2,3,3.251,22.139539,73.7700367821,1.30495,0.81302,0.28117,0.28754494,48.13,5
MOL004015,4015,Rutaevin,486.560,1,9,0.726,,14.6814854822,-0.36635,-0.91180,0.54861,0.32170346,124.8,1
MOL004016,4016,Exaltolide,484.540,1,9,1.090,,15.0352273666,-0.36274,-0.99014,0.54897,0.32360721,124.8,1
MOL004017,4017,Fordimine,256.380,2,3,1.260,2.957017,55.1137548346,0.95907,0.75454,0.26183,0.2468532,44.89,0
